,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,Apple_pred
135,1/1/2000 1:50,0.0,0.0,0.003343122,0.5866596617679622
136,1/1/2000 1:51,0.0,0.0,0.002455467,-0.6470295281885421
137,1/1/2000 1:51,0.0,0.0,0.005772693,3.9400681613902737
138,1/1/2000 1:51,0.0,0.0,0.002963878,0.06013486075108698
139,1/1/2000 1:51,0.0,0.0,0.003049168,0.17862025194515851
140,1/1/2000 1:52,0.0,0.0,0.003054878,0.18655111135080826
141,1/1/2000 1:52,0.0,0.0,0.004264293,1.8621043357989535
142,1/1/2000 1:52,0.0,0.0,0.004764297,2.552355378024309
143,1/1/2000 1:52,0.0,0.0,0.003892004,1.3472268547250321
144,1/1/2000 1:53,0.0,0.0,0.003928754,1.3980878699980446
145,1/1/2000 1:53,0.0,0.0,0.003840267,1.2756110106105156
146,1/1/2000 1:53,0.0,0.0,0.003884305,1.3365706567126754
147,1/1/2000 1:53,0.0,0.0,0.003834842,1.2681006737113423
148,1/1/2000 1:54,0.0,0.0,0.003901887,1.3609054287229885
149,1/1/2000 1:54,0.0,0.0,0.003542255,0.8627929822213103
150,1/1/2000 1:54,0.0,0.0,0.003866066,1.3113246617049823
151,1/1/2000 1:54,0.0,0.0,0.003841944,1.2779326047706423
152,1/1/2000 1:55,0.0,0.0,0.003922217,1.3890414075067818
153,1/1/2000 1:55,0.0,0.0,0.003918239,1.383536188388348
154,1/1/2000 1:55,0.0,0.0,0.003858175,1.3004015294369697
155,1/1/2000 1:55,0.0,0.0,0.003923276,1.3905069594854833
156,1/1/2000 1:56,0.0,0.0,0.003860864,1.304123823381362
157,1/1/2000 1:56,0.0,0.0,0.003785179,1.199339615037843
158,1/1/2000 1:56,0.0,0.0,0.003845183,1.2824165441523139
159,1/1/2000 1:56,0.0,0.0,0.003893649,1.349503657419218
160,1/1/2000 1:57,0.0,0.0,0.003755643,1.158438696235586
161,1/1/2000 1:57,0.0,0.0,0.00375564,1.1584345416337154
162,1/1/2000 1:57,0.0,0.0,0.003899677,1.3578467254417488
163,1/1/2000 1:57,0.0,0.0,0.003448277,0.7325043801772724
164,1/1/2000 1:58,0.0,0.0,0.003899637,1.3577913640364674
165,1/1/2000 1:58,2.0,0.0,0.005053223,2.9505595938317075
166,1/1/2000 1:58,0.0,0.0,0.003179278,0.3592885647960511
167,1/1/2000 1:58,0.0,0.0,0.003279274,0.49807443068151436
168,1/1/2000 1:59,0.0,0.0,0.003118541,0.27496252169016966
169,1/1/2000 1:59,0.0,0.0,0.003134962,0.297763221640837
170,1/1/2000 1:59,0.0,0.0,0.003335491,0.5760733544225252
171,1/1/2000 1:59,0.0,0.0,0.003152561,0.3221978486235484
172,1/1/2000 2:00,0.0,0.0,0.003272524,0.4887078340683324
173,1/1/2000 2:00,0.0,0.0,0.003233393,0.43440273635000537
174,1/1/2000 2:00,0.0,1.0,0.003269048,0.48388428072651557
